xmin,ymin,xmax,ymax,text,labels,SpecialCharacterCount,isFloat,isDate,TotalDistinctNumber,BigNumLength,DoesContainsNum,POSTagDistributionSYM,POSTagDistributionNUM,POSTagDistributionCCONJ,POSTagDistributionPROPN
1607,1862,2937,1954,UNIHAKKA INTERNATIONAL SDN BHD,company,0.0,0,0,0,0.0,0,0,0,0,4
2024,1949,2526,2022,15 MAY 2018 18:43,date,1.0,0,1,4,2018.0,1,0,3,0,1
2115,2038,2422,2113,(867388-U),,3.0,0,0,1,867388.0,1,0,1,0,0
1694,2107,2841,2189,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN",address,3.0,0,1,3,12.0,1,0,2,0,3
1829,2198,2697,2276,"TAMPOI,81200 JOHOR BAHRU,JOHOR",address,2.0,0,0,1,81200.0,1,0,0,0,0
2072,2283,2450,2352,TAX INVOICE,,0.0,0,0,0,0.0,0,0,0,0,0
1530,2349,2352,2425,INVOICE # : OR18051502160344,,2.0,0,0,1,18051502160344.0,1,0,0,0,0
1525,2464,1651,2524,ITEM,,0.0,0,0,0,0.0,0,0,0,0,1
1530,2560,2169,2627,SR I00100000006- PORK,,1.0,0,0,1,100000006.0,1,0,0,0,1
1529,2651,1675,2713,$2.70,,2.0,0,0,2,70.0,1,1,1,0,0
1522,2771,2229,2862,SR I00100000060- 4 VEGE,,1.0,0,0,2,100000060.0,1,0,1,0,1
1518,2864,1678,2931,$5.50,,2.0,0,0,2,50.0,1,1,1,0,0
2834,2674,2985,2743,$2.70,,2.0,0,0,2,70.0,1,1,1,0,0
2823,2892,2981,2965,$5.50,,2.0,0,0,2,50.0,1,1,1,0,0
2443,3031,2967,3102,TOTAL AMOUNT: $8.20,total,3.0,0,1,2,20.0,1,1,1,0,0
2503,3112,2975,3192,GST @6%: $0.46,,5.0,0,0,3,46.0,1,1,1,0,1
2531,3204,2989,3290,NETT TOTAL: $8.20,total,3.0,0,1,2,20.0,1,1,1,0,0
2750,3324,2967,3390,AMOUNT,,0.0,0,0,0,0.0,0,0,0,0,0
1506,3292,1898,3370,PAYMENT MODE,,0.0,0,0,0,0.0,0,0,0,0,0
1504,3389,1678,3451,CASH,,0.0,0,0,0,0.0,0,0,0,0,0
1507,3464,1717,3551,CHANGE,,0.0,0,0,0,0.0,0,0,0,0,0
2811,3414,2960,3481,$8.20,total,2.0,0,0,2,20.0,1,1,1,0,0
2803,3494,2956,3563,$0.00,,2.0,0,0,2,0.0,1,1,1,0,0
1495,3681,1836,3745,GST SUMMARY,,0.0,0,0,0,0.0,0,0,0,0,2
1497,3771,1841,3842,SR = GST @6%,,3.0,0,1,1,6.0,1,1,0,0,2
1864,3902,2564,3975,GST REG #000656195584,,1.0,0,0,1,656195584.0,1,1,1,0,2
1740,3982,2688,4062,BAR WANG RICE@PERMAS JAYA,,1.0,0,0,0,0.0,0,0,0,0,2
1891,4066,2527,4149,(PRICE INCLUSIVE OF GST),,2.0,0,0,0,0.0,0,0,0,0,1
1855,4144,2547,4236,THANK YOU & COME AGAIN!,,2.0,0,0,0,0.0,0,0,0,1,1
1770,4227,2631,4307,LIKE AND FOLLOW US ON FACEBOOK!,,1.0,0,0,0,0.0,0,0,0,1,1
1822,4314,2580,4403,FACEBOOK.COM/BARWANGRICE,,2.0,0,0,0,0.0,0,1,0,0,0
1994,2475,2095,2550,QTY,,0.0,0,0,0,0.0,0,0,0,0,1
2846,2491,2997,2553,TOTAL,,0.0,0,0,0,0.0,0,0,0,0,0
1992,2667,2020,2724,1,,0.0,1,0,1,1.0,1,0,0,0,0
1990,2880,2017,2947,1,,0.0,1,0,1,1.0,1,0,0,0,0
2244,3695,2478,3757,AMOUNT($),,3.0,0,0,0,0.0,0,0,0,0,1
2805,3707,2952,3773,TAX($),,3.0,0,0,0,0.0,0,0,0,0,0
2377,3789,2476,3848,7.74,,1.0,1,0,2,74.0,1,0,1,0,0
2853,3799,2954,3852,0.46,,1.0,1,0,2,46.0,1,0,1,0,0
