xmin,ymin,xmax,ymax,text,labels,SpecialCharacterCount,isFloat,isDate,TotalDistinctNumber,BigNumLength,DoesContainsNum,POSTagDistributionSYM,POSTagDistributionNUM,POSTagDistributionCCONJ,POSTagDistributionPROPN
243,266,571,305,RESTORAN WAN SHENG,company,0.0,0,0,0,0.0,0,0,0,0,3
298,311,502,347,002043319-W,,1.0,0,0,1,2043319.0,1,0,1,0,0
157,352,659,393,"NO.2, JALAN TEMENGGUNG 19/9,",address,4.0,0,1,3,19.0,1,0,1,0,2
124,399,711,440,"SEKSYEN 9, BANDAR MAHKOTA CHERAS,",address,2.0,0,1,1,9.0,1,0,1,0,3
210,444,600,479,"43200 CHERAS, SELANGOR",address,1.0,0,0,1,43200.0,1,0,1,0,2
193,482,623,525,GST REG NO: 001335787520,,1.0,0,0,1,1335787520.0,1,0,1,0,3
194,569,584,606,TAX INVOICE,,0.0,0,0,0,0.0,0,0,0,0,0
53,656,339,692,INV NO.: 1170190,,2.0,0,0,1,1170190.0,1,0,1,0,3
368,655,639,696,CASHIER: NICOLE,,1.0,0,0,0,0.0,0,0,0,0,2
49,699,127,736,DATE,,0.0,0,0,0,0.0,0,0,0,0,0
178,702,552,738,: 01-06-2018 18:21:09,date,5.0,0,1,6,2018.0,1,0,4,0,0
51,786,248,825,DESCRIPTION,,0.0,0,0,0,0.0,0,0,0,0,0
317,784,381,823,QTY,,0.0,0,0,0,0.0,0,0,0,0,1
442,786,567,824,U.PRICE,,1.0,0,0,0,0.0,0,0,0,0,1
602,782,689,820,TOTAL,,0.0,0,0,0,0.0,0,0,0,0,0
703,784,769,821,TAX,,0.0,0,0,0,0.0,0,0,0,0,1
54,864,193,905,CHAM (B),,2.0,0,0,0,0.0,0,0,0,0,1
297,912,357,945,2 X,,0.0,0,0,1,2.0,1,0,1,0,0
452,913,540,950,2.20,,1.0,1,0,2,20.0,1,0,1,0,0
618,913,693,946,4.40,,1.0,1,0,2,40.0,1,0,1,0,0
707,913,763,948,ZRL,,0.0,0,0,0,0.0,0,0,0,0,1
55,954,216,993,TAKE AWAY,,0.0,0,0,0,0.0,0,0,0,0,0
296,994,358,1031,2 X,,0.0,0,0,1,2.0,1,0,1,0,0
459,994,534,1029,0.20,,1.0,1,0,2,20.0,1,0,1,0,0
617,998,692,1034,0.40,,1.0,1,0,2,40.0,1,0,1,0,0
707,995,759,1034,ZRL,,0.0,0,0,0,0.0,0,0,0,0,1
55,1080,269,1117,TOTAL QTY: 4,,1.0,0,1,1,4.0,1,0,1,0,2
56,1117,438,1160,TOTAL (EXCLUDING GST):,,3.0,0,0,0,0.0,0,0,0,0,3
687,1124,762,1159,4.80,total,1.0,1,0,2,80.0,1,0,1,0,0
52,1164,494,1205,TOTAL (INCLUSIVE OF GST):,,3.0,0,0,0,0.0,0,0,0,0,3
690,1166,765,1204,4.80,total,1.0,1,0,2,80.0,1,0,1,0,0
50,1204,256,1243,TOTAL :,,1.0,0,0,0,0.0,0,0,0,0,0
621,1208,761,1244,4.80,total,1.0,1,0,2,80.0,1,0,1,0,0
50,1292,159,1330,CASH :,,1.0,0,0,0,0.0,0,0,0,0,0
690,1293,761,1329,4.80,total,1.0,1,0,2,80.0,1,0,1,0,0
55,1417,251,1456,GST SUMMARY,,0.0,0,0,0,0.0,0,0,0,0,2
406,1420,583,1459,AMOUNT(RM),,2.0,0,0,0,0.0,0,0,0,0,1
634,1417,764,1457,TAX(RM),,2.0,0,0,0,0.0,0,0,0,0,1
55,1461,111,1497,ZRL,,0.0,0,0,0,0.0,0,0,0,0,1
234,1460,340,1500,(@ 0%),,4.0,0,0,1,0.0,1,0,1,0,0
511,1465,586,1498,4.80,total,1.0,1,0,2,80.0,1,0,1,0,0
687,1463,764,1498,0.00,,1.0,1,0,2,0.0,1,0,1,0,0
