xmin,ymin,xmax,ymax,text,labels,SpecialCharacterCount,isFloat,isDate,TotalDistinctNumber,BigNumLength,DoesContainsNum,POSTagDistributionSYM,POSTagDistributionNUM,POSTagDistributionCCONJ,POSTagDistributionPROPN
53,183,269,220,TAX INVOICE,,0.0,0,0,0,0.0,0,0,0,0,0
54,256,545,285,KHIAM AIK CHAN SDN BHD (88842-H),company,3.0,0,0,1,88842.0,1,0,1,0,4
56,298,292,325,"NO. 76, JALAN SS15/4B,",address,4.0,0,0,3,76.0,1,0,1,0,3
56,331,413,358,"47500 SUBANG JAYA, SELANGOR D.E.",address,3.0,0,0,1,47500.0,1,0,1,0,4
59,361,321,392,GST REG.: 000555819008,,2.0,0,0,1,555819008.0,1,0,1,0,2
57,407,223,433,CASH SALES NO. :,,2.0,0,0,0,0.0,0,0,0,0,0
258,407,364,433,CS-19204,,1.0,0,0,1,19204.0,1,0,0,0,0
57,443,119,466,DATE :,,1.0,0,0,0,0.0,0,0,0,0,0
259,440,520,465,25/09/2017 01:48:57 PM,date,4.0,0,1,6,2017.0,1,0,2,0,0
77,513,295,543,1. MAX 10-1M STAPLES,,2.0,0,1,3,10.0,1,1,2,0,1
99,549,203,573,2 X 14.20,,1.0,0,1,3,20.0,1,0,2,0,0
490,547,553,572,28.40,total,1.0,1,0,2,40.0,1,0,1,0,0
57,587,372,614,TATAL SALES INCLUSIVE GST @6%,,2.0,0,1,1,6.0,1,0,0,0,2
491,589,554,613,28.40,total,1.0,1,0,2,40.0,1,0,1,0,0
267,661,327,684,CASH,,0.0,0,0,0,0.0,0,0,0,0,0
497,661,555,690,50.00,,1.0,1,0,2,50.0,1,0,1,0,0
269,692,359,713,CHANGE,,0.0,0,0,0,0.0,0,0,0,0,0
495,693,555,717,21.60,,1.0,1,0,2,60.0,1,0,1,0,0
57,730,205,761,GST SUMMARY,,0.0,0,0,0,0.0,0,0,0,0,2
234,733,367,762,AMOUNT(RM),,2.0,0,0,0,0.0,0,0,0,0,1
430,731,523,761,TAX(RM),,2.0,0,0,0,0.0,0,0,0,0,1
56,762,155,789,SR @ 6%,,2.0,0,1,1,6.0,1,0,1,0,1
304,762,365,789,26.79,,1.0,1,0,2,79.0,1,0,1,0,0
473,763,522,789,1.61,,1.0,1,0,2,61.0,1,0,1,0,0
140,923,445,950,GOODS SOLD ARE NOT RETURNABLE.,,1.0,0,0,0,0.0,0,0,0,0,2
135,951,449,976,THANK YOU! PLEASE COME AGAIN!,,2.0,0,0,0,0.0,0,0,0,0,0
