xmin,ymin,xmax,ymax,text,labels,SpecialCharacterCount,isFloat,isDate,TotalDistinctNumber,BigNumLength,DoesContainsNum,POSTagDistributionSYM,POSTagDistributionNUM,POSTagDistributionCCONJ,POSTagDistributionPROPN
191,247,764,339,BASKIN BR ROBBINS,,0.0,0,0,0,0.0,0,0,0,0,2
334,419,613,464,DESA PARK CITY,,0.0,0,0,0,0.0,0,0,0,0,3
151,471,800,516,GOLDEN SCOOP SDN BHD (169609-A),company,3.0,0,0,1,169609.0,1,0,1,0,3
53,517,907,564,"A--16-1, TOWER A, NORTHPOINT OFFICE, MID VALLEY",address,6.0,0,0,2,16.0,1,1,1,0,4
94,572,865,615,"CITY, NO1, MEDAN SYED PUTRA UTARA KUALA",address,2.0,0,1,1,1.0,1,0,0,0,7
401,622,548,663,LUMPUR,address,0.0,0,0,0,0.0,0,0,0,0,0
386,673,556,712,MALAYSIA,address,0.0,0,0,0,0.0,0,0,0,0,1
257,725,692,759,GST ID: 001513148416,,1.0,0,0,1,1513148416.0,1,0,1,0,2
228,775,731,817,OUTLET TEL: (603) 6280 7131,,3.0,0,0,3,7131.0,1,0,3,0,2
360,852,594,895,TAX INVOICE,,0.0,0,0,0,0.0,0,0,0,0,0
52,907,248,944,INVOICE NO,,0.0,0,0,0,0.0,0,0,0,0,0
54,956,208,995,POS NO,,0.0,0,0,0,0.0,0,0,0,0,0
51,1003,199,1045,CASHIER,,0.0,0,0,0,0.0,0,0,0,0,1
52,1055,278,1096,DATE & TIME,,1.0,0,0,0,0.0,0,0,0,1,2
348,903,819,942,: DPC11 53409-001-0006,,3.0,0,0,4,53409.0,1,0,3,0,1
348,952,508,993,: DPC11,,1.0,0,1,1,11.0,1,0,0,0,1
348,1003,556,1042,: DPC1PT1,,1.0,0,1,2,1.0,1,0,0,0,0
347,1054,755,1092,: 16/02/2018 12:04:58,date,5.0,0,1,6,2018.0,1,0,2,0,0
52,1159,285,1197,DESCRIPTION,,0.0,0,0,0,0.0,0,0,0,0,0
384,1156,455,1199,QTY,,0.0,0,0,0,0.0,0,0,0,0,1
509,1151,654,1197,U.PRICE,,1.0,0,0,0,0.0,0,0,0,0,1
711,1152,903,1194,TOTAL (RM),,2.0,0,0,0,0.0,0,0,0,0,2
56,1204,344,1247,DOUBLE RG. CUP,,1.0,0,0,0,0.0,0,0,0,0,2
54,1257,270,1296,COLOUR RICE,,0.0,0,0,0,0.0,0,0,0,0,0
429,1208,446,1241,1,,0.0,1,0,1,1.0,1,0,0,0,0
431,1258,449,1292,1,,0.0,1,0,1,1.0,1,0,0,0,0
554,1203,657,1244,20.00,,1.0,1,0,2,20.0,1,0,1,0,0
577,1254,661,1291,1.50,,1.0,1,0,2,50.0,1,0,1,0,0
734,1203,904,1240,20.00 SR,,1.0,0,1,2,20.0,1,0,1,0,0
761,1252,909,1290,1.50 SR,,1.0,0,1,2,50.0,1,0,1,0,1
54,1355,252,1393,SUB TOTAL,,0.0,0,0,0,0.0,0,0,0,0,1
55,1405,306,1452,ROUNDING ADJ.,,1.0,0,0,0,0.0,0,0,0,0,1
54,1456,373,1502,TOTAL (INCL.GST),,3.0,0,0,0,0.0,0,0,0,0,2
54,1507,286,1552,CASH (MYR),,2.0,0,0,0,0.0,0,0,0,0,1
55,1558,316,1600,CASH CHANGE:,,1.0,0,0,0,0.0,0,0,0,0,0
799,1354,904,1393,21.50,total,1.0,1,0,2,50.0,1,0,1,0,0
881,1402,903,1447,0,,0.0,1,0,1,0.0,1,0,1,0,0
801,1452,902,1491,21.50,total,1.0,1,0,2,50.0,1,0,1,0,0
797,1507,906,1540,22.00,,1.0,1,0,2,22.0,1,0,1,0,0
822,1553,906,1592,0.50,,1.0,1,0,2,50.0,1,0,1,0,0
118,1706,206,1744,GST,,0.0,0,0,0,0.0,0,0,0,0,1
63,1757,261,1798,SUMMARY,,0.0,0,0,0,0.0,0,0,0,0,1
135,1807,197,1845,SR,,0.0,0,0,0,0.0,0,0,0,0,0
296,1725,699,1770,TAX RATE SALE (RM),,2.0,0,0,0,0.0,0,0,0,0,3
386,1805,480,1839,6.0%,,2.0,0,0,2,6.0,1,0,1,0,0
585,1803,698,1840,20.28,,1.0,1,0,2,28.0,1,0,1,0,0
720,1725,910,1767,TAX (RM),,2.0,0,0,0,0.0,0,0,0,0,2
825,1801,904,1836,1.22,,1.0,1,0,2,22.0,1,0,1,0,0
186,1902,770,1949,THANK YOU ! PLEASE COME AGAIN!,,2.0,0,0,0,0.0,0,0,0,0,0
219,1955,737,1996,WWW.BASKINROBBINS.COM.MY,,3.0,0,0,0,0.0,0,0,0,0,0
