xmin,ymin,xmax,ymax,text,labels,SpecialCharacterCount,isFloat,isDate,TotalDistinctNumber,BigNumLength,DoesContainsNum,POSTagDistributionSYM,POSTagDistributionNUM,POSTagDistributionCCONJ,POSTagDistributionPROPN
1938,364,2515,457,AEON CO. (M) BHD,company,3.0,0,0,0,0.0,0,0,0,0,4
2548,349,2897,446,(126926-H),,3.0,0,0,1,126926.0,1,0,1,0,0
1911,453,2946,561,"3RD FLR, AEON TAMAN MALURI SC",address,1.0,0,1,1,3.0,1,0,1,0,5
1984,551,2832,656,"JLN JEJAKA, TAMAN MALURI",address,1.0,0,0,0,0.0,0,0,0,0,4
1949,648,2874,758,"CHERAS, 55100 KUALA LUMPUR",address,1.0,0,0,1,55100.0,1,0,1,0,2
2058,745,2803,855,GST ID : 002017394688,,1.0,0,0,1,2017394688.0,1,0,1,0,2
2201,852,2711,944,SHOPPING HOURS,,0.0,0,0,0,0.0,0,0,0,0,0
1960,947,2918,1050,SUN-THU:1000 HRS - 2230 HRS,,3.0,0,0,2,2230.0,1,0,1,0,4
1962,1039,2920,1151,FRI-SAT:1000 HRS - 2300 HRS,,3.0,0,0,2,2300.0,1,0,1,0,4
1760,1272,1832,1351,1X,,0.0,0,0,1,1.0,1,0,0,0,0
1766,1571,1841,1650,1X,,0.0,0,0,1,1.0,1,0,0,0,0
1768,1766,1849,1843,1X,,0.0,0,0,1,1.0,1,0,0,0,0
1771,1962,1857,2045,1X,,0.0,0,0,1,1.0,1,0,0,0,0
1779,2168,1851,2240,1X,,0.0,0,0,1,1.0,1,0,0,0,0
1779,2357,1862,2434,1X,,0.0,0,0,1,1.0,1,0,0,0,0
1788,2548,1867,2634,1X,,0.0,0,0,1,1.0,1,0,0,0,0
1793,2851,1870,2930,1X,,0.0,0,0,1,1.0,1,0,0,0,0
1799,3047,1871,3130,1X,,0.0,0,0,1,1.0,1,0,0,0,0
1799,3249,1880,3328,1X,,0.0,0,0,1,1.0,1,0,0,0,0
1804,3438,1879,3526,1X,,0.0,0,0,1,1.0,1,0,0,0,0
1812,3739,1889,3811,1X,,0.0,0,0,1,1.0,1,0,0,0,0
1853,1254,2288,1354,000001038556,,0.0,1,0,1,1038556.0,1,0,1,0,0
1858,1356,2321,1454,CHEK-HUP 2IN1,,1.0,0,1,2,2.0,1,0,0,0,2
1869,1449,2470,1547,ITEM PROMO @12.99,,2.0,0,1,2,99.0,1,0,0,0,2
1866,1552,2291,1642,000006429720,,0.0,1,0,1,6429720.0,1,0,1,0,0
1866,1651,2374,1747,MS SWM ENZO RT,,0.0,0,0,0,0.0,0,0,0,0,4
1863,1749,2296,1834,000005457342,,0.0,1,0,1,5457342.0,1,0,1,0,0
1874,1842,2416,1938,VALENCIA ORANGE,,0.0,0,0,0,0.0,0,0,0,0,2
1879,1948,2299,2033,000000812627,,0.0,1,0,1,812627.0,1,0,1,0,0
1874,2041,2305,2134,US RED GLOBE,,0.0,0,0,0,0.0,0,0,0,0,3
