xmin,ymin,xmax,ymax,text,labels,SpecialCharacterCount,isFloat,isDate,TotalDistinctNumber,BigNumLength,DoesContainsNum,POSTagDistributionSYM,POSTagDistributionNUM,POSTagDistributionCCONJ,POSTagDistributionPROPN
24,165,661,225,YOUR ORDER NUMBER IS,,0.0,0,0,0,0.0,0,0,0,0,0
248,240,484,376,264,,0.0,1,0,1,264.0,1,0,1,0,0
72,492,601,524,GOLDEN ARCHES RESTAURANTS SDN BHD,company,0.0,0,0,0,0.0,0,0,0,0,3
266,532,403,566,(65351-M),,3.0,0,0,1,65351.0,1,0,1,0,0
24,571,648,604,"LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3",address,2.0,0,1,2,6.0,1,0,1,0,5
25,612,645,645,"NO.3, JALAN SS21/39,47400 PETALING JAYA",address,4.0,0,0,4,47400.0,1,0,0,0,4
264,652,390,684,SELANGOR,address,0.0,0,0,0,0.0,0,0,0,0,0
140,690,534,726,(GST ID NO: 000504664064),,3.0,0,0,1,504664064.0,1,0,1,0,3
55,731,595,761,MCDONALD'S KOTA DAMANSARA DT(#178),,4.0,0,0,1,178.0,1,0,0,0,3
170,769,503,799,TEL NO. 03-6156-2180,,3.0,0,0,3,6156.0,1,1,3,0,3
245,809,424,839,TAX INVOICE,,0.0,0,0,0,0.0,0,0,0,0,0
264,888,422,916,MFY SIDE 1,,0.0,0,1,1,1.0,1,0,1,0,2
29,964,343,996,INV# 001780200112117,,1.0,0,0,1,1780200112117.0,1,0,1,0,1
24,1006,601,1038,ORD #64 -REG #2- 25/12/2016 13:51:47,date,8.0,0,0,8,2016.0,1,2,3,0,1
70,1714,582,1747,THANK YOU AND PLEASE COME AGAIN.,,1.0,0,0,0,0.0,0,0,0,1,1
25,1045,153,1075,QTY ITEM,,0.0,0,0,0,0.0,0,0,0,0,1
568,1045,646,1074,TOTAL,,0.0,0,0,0,0.0,0,0,0,0,0
58,1084,280,1116,2 L FILETOFISH,,0.0,0,1,1,2.0,1,0,1,0,1
569,1083,647,1115,21.18,,1.0,1,0,2,21.0,1,0,1,0,0
89,1125,217,1155,2 L COKE,,0.0,0,1,1,2.0,1,0,1,0,1
121,1164,218,1196,NO ICE,,0.0,0,0,0,0.0,0,0,0,0,0
89,1203,231,1233,2 L FRIES,,0.0,0,1,1,2.0,1,0,1,0,0
60,1243,218,1273,1 6NUGGETS,,0.0,0,1,2,6.0,1,0,1,0,0
583,1243,647,1273,7.10,,1.0,1,0,2,10.0,1,0,1,0,0
91,1282,343,1314,1 BARBECUE SAUCE,,0.0,0,1,1,1.0,1,0,1,0,0
60,1323,249,1352,1 SAMLL CONE,,0.0,0,1,1,1.0,1,0,1,0,0
588,1323,646,1352,1.00,,1.0,1,0,2,1.0,1,0,1,0,0
24,1400,389,1432,EAT-IN TOTAL (INCL GST),,3.0,0,0,0,0.0,0,0,0,0,3
568,1400,647,1429,29.28,,1.0,1,0,2,29.0,1,0,1,0,0
24,1441,260,1474,ROUNDING ADJUST,,0.0,0,0,0,0.0,0,0,0,0,0
583,1441,647,1471,0.02,,1.0,1,0,2,2.0,1,0,1,0,0
25,1480,233,1513,TOTAL ROUNDED,,0.0,0,0,0,0.0,0,0,0,0,1
569,1480,647,1510,29.30,total,1.0,1,0,2,30.0,1,0,1,0,0
24,1521,235,1553,CASH TENDERED,,0.0,0,0,0,0.0,0,0,0,0,1
567,1517,647,1549,50.00,,1.0,1,0,2,50.0,1,0,1,0,0
24,1560,119,1590,CHANGE,,0.0,0,0,0,0.0,0,0,0,0,0
567,1559,648,1589,20.70,,1.0,1,0,2,70.0,1,0,1,0,0
23,1635,362,1668,TOTAL INCLUDES 6% GST,,1.0,0,1,1,6.0,1,0,1,0,2
587,1638,648,1667,1.66,,1.0,1,0,2,66.0,1,0,1,0,0
20,1755,648,1787,CUSTOMER SERVICE HOTLINE : 03-2726-5600,,3.0,0,0,3,5600.0,1,1,3,0,2
