xmin,ymin,xmax,ymax,text,labels,SpecialCharacterCount,isFloat,isDate,TotalDistinctNumber,BigNumLength,DoesContainsNum,POSTagDistributionSYM,POSTagDistributionNUM,POSTagDistributionCCONJ,POSTagDistributionPROPN
351,356,643,373,UNIHAKKA INTERNATIONAL SDN BHD,company,0.0,0,0,0,0.0,0,0,0,0,4
444,374,550,388,05 MAR 2018 18:24,date,1.0,0,1,4,2018.0,1,0,3,0,1
464,392,532,408,(867388-U),,3.0,0,0,1,867388.0,1,0,1,0,0
372,409,622,426,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN",address,3.0,0,1,3,12.0,1,0,2,0,3
401,428,591,444,"TAMPOI,81200 JOHOR BAHRU,JOHOR",address,2.0,0,0,1,81200.0,1,0,0,0,0
455,446,537,459,TAX INVOICE,,0.0,0,0,0,0.0,0,0,0,0,0
337,462,517,476,INVOICE # : OR18030502160349,,2.0,0,1,1,18030502160349.0,1,0,0,0,0
336,488,362,500,ITEM,,0.0,0,0,0,0.0,0,0,0,0,1
438,489,460,503,QTY,,0.0,0,0,0,0.0,0,0,0,0,1
624,489,657,502,TOTAL,,0.0,0,0,0,0.0,0,0,0,0,0
337,509,491,524,SR 100100000060- 4 VEGE,,1.0,0,0,2,100100000060.0,1,0,2,0,1
336,527,369,541,$5.50,,2.0,0,0,2,50.0,1,1,1,0,0
620,530,654,543,$5.50,,2.0,0,0,2,50.0,1,1,1,0,0
336,554,476,568,SR 100100000006- PORK,,1.0,0,0,1,100100000006.0,1,0,1,0,2
336,574,369,588,$2.70,,2.0,0,0,2,70.0,1,1,1,0,0
437,575,444,589,1,,0.0,1,0,1,1.0,1,0,0,0,0
619,577,653,592,$2.70,,2.0,0,0,2,70.0,1,1,1,0,0
537,608,652,622,TOTAL AMOUNT: $8.20,total,3.0,0,1,2,20.0,1,1,1,0,0
552,626,654,642,GST @6%: $0.46,,5.0,0,0,3,46.0,1,1,1,0,1
558,645,652,659,NETT TOTAL: $8.20,total,3.0,0,1,2,20.0,1,1,1,0,0
335,668,420,684,PAYMENT MODE,,0.0,0,0,0,0.0,0,0,0,0,0
605,670,652,685,AMOUNT,,0.0,0,0,0,0.0,0,0,0,0,0
334,689,372,701,CASH,,0.0,0,0,0,0.0,0,0,0,0,0
617,690,651,705,$8.20,total,2.0,0,0,2,20.0,1,1,1,0,0
334,707,380,722,CHANGE,,0.0,0,0,0,0.0,0,0,0,0,0
618,708,651,723,$0.00,,2.0,0,0,2,0.0,1,1,1,0,0
333,752,407,764,GST SUMMARY,,0.0,0,0,0,0.0,0,0,0,0,2
496,753,546,766,AMOUNT($),,3.0,0,0,0,0.0,0,0,0,0,1
618,754,651,767,TAX($),,3.0,0,0,0,0.0,0,0,0,0,0
332,770,409,784,SR = GST @6%,,3.0,0,1,1,6.0,1,1,0,0,2
525,774,547,785,7.74,,1.0,1,0,2,74.0,1,0,1,0,0
628,774,650,786,0.46,,1.0,1,0,2,46.0,1,0,1,0,0
414,798,567,813,GST REG #000656195584,,1.0,0,0,1,656195584.0,1,1,1,0,2
387,816,593,833,BAR WANG RICE@PERMAS JAYA,,1.0,0,0,0,0.0,0,0,0,0,2
421,833,558,851,(PRICE INCLUSIVE OF GST),,2.0,0,0,0,0.0,0,0,0,0,1
413,852,564,869,THANK YOU & COME AGAIN!,,2.0,0,0,0,0.0,0,0,0,1,1
395,871,582,884,LIKE AND FOLLOW US ON FACEBOOK!,,1.0,0,0,0,0.0,0,0,0,1,1
407,889,573,905,FACEBOOK.COM/BARWANGRICE,,2.0,0,0,0,0.0,0,1,0,0,0
438,530,445,542,1,,0.0,1,0,1,1.0,1,0,0,0,0
