xmin,ymin,xmax,ymax,text,labels,SpecialCharacterCount,isFloat,isDate,TotalDistinctNumber,BigNumLength,DoesContainsNum,POSTagDistributionSYM,POSTagDistributionNUM,POSTagDistributionCCONJ,POSTagDistributionPROPN
200,277,384,310,JIMART@SP3,,1.0,0,1,1,3.0,1,0,0,0,1
170,313,412,336,OGN GROUP SDN BHD,company,0.0,0,0,0,0.0,0,0,0,0,4
200,346,381,367,ROC: 1026984-X,,2.0,0,0,1,1026984.0,1,0,1,0,1
69,375,509,404,"NO.29M, JALAN DINAR G U3/G, SEKSYEN U3,",address,5.0,0,0,3,29.0,1,1,0,0,9
105,408,475,433,"SUBANG PERDANA, 40150 SHAH ALAM",address,1.0,0,0,1,40150.0,1,0,1,0,4
219,438,363,461,013-336 3999,,1.0,0,0,3,3999.0,1,1,3,0,0
141,471,438,497,GST REG NO: 002077622272,,1.0,0,0,1,2077622272.0,1,0,1,0,3
218,548,366,570,TAXINVOICE,,0.0,0,0,0,0.0,0,0,0,0,0
42,608,147,629,INVOICE NO,,0.0,0,0,0,0.0,0,0,0,0,0
169,611,356,630,: SP3-01-148852,,3.0,0,0,3,148852.0,1,0,2,0,1
44,641,92,664,DATE,,0.0,0,0,0,0.0,0,0,0,0,0
168,641,411,664,: 24/06/2018 4:37:37 PM,date,5.0,0,1,6,2018.0,1,0,2,0,0
41,672,115,693,CASHIER,,0.0,0,0,0,0.0,0,0,0,0,1
168,673,244,693,: JIMART,,1.0,0,0,0,0.0,0,0,0,0,1
92,734,211,760,DESCRIPTIOR,,0.0,0,0,0,0.0,0,0,0,0,1
309,733,350,760,QTY,,0.0,0,0,0,0.0,0,0,0,0,1
371,733,523,757,PRICE AMOUNT,,0.0,0,0,0,0.0,0,0,0,0,0
43,764,54,783,1,,0.0,1,0,1,1.0,1,0,0,0,0
89,762,218,783,SR 0809152,,0.0,0,0,1,809152.0,1,0,1,0,1
338,764,348,785,1,,0.0,1,0,1,1.0,1,0,0,0,0
385,762,429,784,7.45,,1.0,1,0,2,45.0,1,0,1,0,0
476,762,521,783,7.45,,1.0,1,0,2,45.0,1,0,1,0,0
85,795,323,817,"RHOMB SCISSORS 4"" 2040",,1.0,0,1,2,2040.0,1,0,2,0,0
44,826,56,847,2,,0.0,1,0,1,2.0,1,0,0,0,0
90,826,286,848,SR 1050901900021,,0.0,0,0,1,1050901900021.0,1,0,1,0,1
338,827,348,844,1,,0.0,1,0,1,1.0,1,0,0,0,0
385,824,428,846,7.45,,1.0,1,0,2,45.0,1,0,1,0,0
478,826,521,847,7.45,,1.0,1,0,2,45.0,1,0,1,0,0
85,856,320,882,SHARPENING STONE 108#8,,1.0,0,1,2,108.0,1,0,1,0,1
43,889,56,909,3,,0.0,1,0,1,3.0,1,0,0,0,0
90,889,289,909,SR 9555047307540,,0.0,0,0,1,9555047307540.0,1,0,1,0,1
337,889,348,907,1,,0.0,1,0,1,1.0,1,0,0,0,0
385,888,429,909,4.62,,1.0,1,0,2,62.0,1,0,1,0,0
479,888,522,909,4.62,,1.0,1,0,2,62.0,1,0,1,0,0
86,920,304,943,LAVA WATER JUG 2.25L,,1.0,0,1,2,25.0,1,0,0,0,2
42,951,55,969,4,,0.0,1,0,1,4.0,1,0,0,0,0
90,951,229,970,SR 24900007,,0.0,0,0,1,24900007.0,1,0,1,0,1
324,950,351,971,12,,0.0,1,0,1,12.0,1,0,1,0,0
385,951,427,972,2.74,,1.0,1,0,2,74.0,1,0,1,0,0
466,950,522,971,32.88,,1.0,1,0,2,88.0,1,0,1,0,0
85,982,328,1002,GLASS W/FLOWER LG10001,,1.0,0,0,1,10001.0,1,1,0,0,4
27,1012,212,1032,TOTAL ITEM DISCOUNT,,0.0,0,0,0,0.0,0,0,0,0,0
479,1012,520,1032,0.00,,1.0,1,0,2,0.0,1,0,1,0,0
26,1044,361,1069,TOTAL SALES INCLUSIVE GST@ 0.00%,,3.0,0,0,2,0.0,1,0,1,0,1
469,1044,522,1066,52.40,total,1.0,1,0,2,52.0,1,0,1,0,0
28,1074,233,1099,ROUNDING ADJUSTMENT:,,1.0,0,0,0,0.0,0,0,0,0,0
479,1075,521,1095,0.00,,1.0,1,0,2,0.0,1,0,1,0,0
30,1109,170,1140,TOTAL :,,1.0,0,0,0,0.0,0,0,0,0,0
424,1108,517,1139,52.40,total,1.0,1,0,2,52.0,1,0,1,0,0
28,1149,90,1173,CASH,,0.0,0,0,0,0.0,0,0,0,0,0
468,1151,522,1171,53.00,,1.0,1,0,2,53.0,1,0,1,0,0
27,1184,118,1209,CHANGE :,,1.0,0,0,0,0.0,0,0,0,0,0
478,1184,521,1205,0.60,,1.0,1,0,2,60.0,1,0,1,0,0
26,1227,204,1254,GST SUMMARY %,,1.0,0,0,0,0.0,0,0,0,0,2
241,1229,365,1252,AMOUNT(RM),,2.0,0,0,0,0.0,0,0,0,0,1
438,1228,523,1252,TAX(RM),,2.0,0,0,0,0.0,0,0,0,0,1
26,1261,57,1281,SR,,0.0,0,0,0,0.0,0,0,0,0,0
165,1262,209,1281,0.00,,1.0,1,0,2,0.0,1,0,1,0,0
309,1262,365,1282,52.40,total,1.0,1,0,2,52.0,1,0,1,0,0
478,1262,521,1280,0.00,,1.0,1,0,2,0.0,1,0,1,0,0
243,1307,339,1328,I LOVE JIMART,,0.0,0,0,0,0.0,0,0,0,0,1
116,1328,466,1347,GOODS SOLD ARE NOT RETURNABLE,,0.0,0,0,0,0.0,0,0,0,0,2
158,1349,423,1372,THANK YOU.PLEASE COME AGAIN.,,2.0,0,0,0,0.0,0,0,0,0,1
